id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id
90,1769870939.5622,26.7418,7.33588,0.253662,0.111572,-1.09595,-0.412214,0.374046,-6.54962,LOW,v5_stream
91,1769870939.5622,26.6947,6.61069,0.269531,0.114502,-1.09717,-1.51908,-0.931298,-4.16031,LOW,v5_stream
92,1769870939.5622,26.7888,3.57252,0.218506,0.137451,-1.0752,0.328244,2.14504,1.09924,LOW,v5_stream
93,1769870939.5622,26.6947,6.83206,0.279541,0.10376,-1.0835,-1.19847,-0.267176,-5.36641,LOW,v5_stream
94,1769870939.5622,26.6947,4.70992,0.269531,0.076416,-1.09351,-1.67176,0.641221,2.39695,LOW,v5_stream
95,1769870939.832,26.7418,7.18321,0.250488,0.107178,-1.08789,-0.778626,1.01527,5.38931,LOW,v5_stream
96,1769870939.832,26.6947,1.9313,0.243408,0.123779,-1.08325,-0.435115,1.00763,-0.48855,LOW,v5_stream
97,1769870939.832,26.6947,3.55725,0.275879,0.059082,-1.09863,-2.45802,-0.519084,0.580153,LOW,v5_stream
98,1769870939.832,26.6947,6.51908,0.233154,0.161865,-1.08643,-0.19084,1.17557,5.15267,LOW,v5_stream
99,1769870940.832,26.7888,4.87023,0.277588,0.149902,-1.07202,-0.564885,0.603053,-3.70229,LOW,v5_stream
100,1769870941.064,26.93,10.374,0.229736,0.169434,-1.07056,-0.259542,1.72519,8.38931,LOW,v5_stream
101,1769870941.064,26.6476,7.0,0.289551,0.100342,-1.08325,-1.74046,0.396947,4.8626,LOW,v5_stream
102,1769870941.064,26.6476,14.374,0.280273,0.0710449,-1.09595,-2.03817,0.175573,12.1603,LOW,v5_stream
103,1769870942.064,26.7888,10.6565,0.262207,0.185547,-1.07104,-0.229008,1.34351,9.08397,LOW,v5_stream
104,1769870942.064,26.8359,11.3206,0.295654,0.046875,-1.0791,-2.21374,1.01527,8.0916,LOW,v5_stream
105,1769870942.3297,26.7888,14.374,0.307617,-0.00317383,-1.1001,-2.71756,0.412214,11.2443,LOW,v5_stream
106,1769870943.3297,26.7418,18.9695,0.260742,0.0976562,-1.09521,-1.19084,0.908397,16.8702,LOW,v5_stream
107,1769870943.3297,26.7418,9.90076,0.304932,0.0976562,-1.04688,-1.21374,0.687023,8.0,LOW,v5_stream
108,1769870943.3297,26.7418,19.0992,0.314941,-0.0410156,-1.09106,-2.25954,1.36641,15.4733,LOW,v5_stream
109,1769870943.3297,26.6476,15.3282,0.292969,0.0979004,-1.09521,-1.09924,-0.122137,14.1069,LOW,v5_stream
110,1769870944.6242,26.7888,20.313,0.290771,-0.0476074,-1.09082,-1.49618,1.48092,17.3359,LOW,v5_stream
111,1769870944.6242,26.6947,13.3282,0.306396,0.0644531,-1.08765,-1.51908,-0.78626,11.0229,LOW,v5_stream
112,1769870944.6242,26.8829,17.3053,0.32373,-0.0266113,-1.06421,-1.45802,1.44275,14.4046,LOW,v5_stream
113,1769870944.6242,26.6947,17.6718,0.292969,-0.0397949,-1.09204,-1.34351,1.00763,15.3206,LOW,v5_stream
114,1769870944.6242,26.8829,12.626,0.338623,-0.000732422,-1.07373,-1.9771,-0.122137,10.5267,LOW,v5_stream
115,1769870944.9037,26.6947,17.0687,0.30957,-0.0998535,-1.09229,-2.25191,0.29771,14.5191,LOW,v5_stream
116,1769870944.9037,26.7418,20.1985,0.259277,-0.0209961,-1.07446,-0.862595,1.9542,17.3817,LOW,v5_stream
117,1769870944.9037,26.8829,12.687,0.343506,-0.0874023,-1.07544,-2.24427,-0.21374,10.229,LOW,v5_stream
118,1769870944.9037,26.8829,19.229,0.321289,-0.102295,-1.09058,-1.82443,0.740458,16.6641,LOW,v5_stream
119,1769870945.9037,26.7888,15.542,0.291016,-0.0253906,-1.06641,-0.89313,1.1374,13.5115,LOW,v5_stream
120,1769870946.1851,26.8359,17.4046,0.270508,-0.0646973,-1.07642,-1.07634,1.54198,14.7863,LOW,v5_stream
121,1769870946.1851,26.7418,11.1145,0.322266,-0.158936,-1.08618,-2.19847,-0.381679,8.53435,LOW,v5_stream
122,1769870947.1851,26.7418,17.771,0.280029,-0.124756,-1.0769,-1.0687,1.23664,15.4656,LOW,v5_stream
123,1769870947.1851,26.7888,12.7176,0.282715,-0.130127,-1.07861,-1.09924,1.38168,10.2366,LOW,v5_stream
124,1769870947.1851,26.7888,10.4198,0.303223,-0.20166,-1.08765,-2.00763,-0.389313,8.0229,LOW,v5_stream
125,1769870947.4545,26.7888,6.22901,0.286377,-0.149658,-1.07568,-1.45038,-0.427481,4.35115,LOW,v5_stream
126,1769870948.4545,26.8359,13.6641,0.280029,-0.209717,-1.08325,-1.03817,1.32061,11.3053,LOW,v5_stream
127,1769870948.4545,26.7888,5.48855,0.260742,-0.158447,-1.10254,-1.45038,0.259542,3.77863,LOW,v5_stream
128,1769870948.4545,26.8829,3.15267,0.281494,-0.157959,-1.06689,-0.89313,-0.145038,2.1145,LOW,v5_stream
129,1769870948.4545,26.7418,9.31298,0.248291,-0.172363,-1.06885,-0.549618,1.72519,7.03817,LOW,v5_stream
130,1769870949.688,26.6947,5.29771,0.270752,-0.171875,-1.08447,-1.37405,-0.167939,-3.75573,LOW,v5_stream
131,1769870949.688,26.8359,2.56489,0.280273,-0.206055,-1.07495,-0.519084,0.221374,1.82443,LOW,v5_stream
132,1769870949.688,26.7888,7.64122,0.246582,-0.168213,-1.08032,-1.03817,1.20611,5.39695,LOW,v5_stream
133,1769870949.688,26.8359,6.45802,0.275146,-0.146484,-1.09033,-1.16794,-0.534351,-4.75573,LOW,v5_stream
134,1769870949.688,26.8359,4.37405,0.265137,-0.186768,-1.06226,-0.679389,0.801527,2.89313,LOW,v5_stream
135,1769870949.9626,26.7418,9.59542,0.262695,-0.150635,-1.07227,0.0610687,1.31298,-8.22137,LOW,v5_stream
136,1769870949.9626,26.8359,11.7328,0.266846,-0.165283,-1.08984,-0.671756,0.740458,-10.3206,LOW,v5_stream
137,1769870949.9626,26.6947,17.2901,0.309326,-0.172607,-1.07837,-1.0687,-0.503817,-15.7176,LOW,v5_stream
138,1769870950.9626,26.8359,10.1985,0.258545,-0.124756,-1.06445,0.274809,1.26718,-8.65649,LOW,v5_stream
139,1769870950.9626,26.7888,16.374,0.289795,-0.125977,-1.08887,-0.671756,0.0763359,-15.626,LOW,v5_stream
140,1769870951.2304,26.8359,17.916,0.284668,-0.015625,-1.08594,0.396947,0.374046,-17.145,LOW,v5_stream
141,1769870951.2304,26.8829,15.3435,0.325928,-0.164307,-1.08057,-0.954198,0.679389,-13.7099,LOW,v5_stream
142,1769870952.2304,26.7888,11.9389,0.277832,-0.0734863,-1.09741,-0.358779,0.793893,-10.7863,LOW,v5_stream
143,1769870952.2304,26.7888,19.5344,0.314209,-0.00488281,-1.07812,0.167939,0.0152672,-19.3511,LOW,v5_stream
144,1769870952.2304,26.8829,13.5267,0.338623,-0.145264,-1.09009,-0.977099,1.12977,-11.4198,LOW,v5_stream
145,1769870952.4824,26.7418,15.7786,0.30249,-0.0100098,-1.08594,-0.389313,-0.465649,-14.9237,LOW,v5_stream
146,1769870953.4824,26.8359,16.2519,0.333008,0.0249023,-1.06201,-0.59542,-0.282443,-15.374,LOW,v5_stream
147,1769870953.4824,26.8359,13.2977,0.299316,-0.015625,-1.07275,0.389313,1.77863,-11.1298,LOW,v5_stream
148,1769870953.4824,26.8829,17.1908,0.311279,0.0380859,-1.09839,-0.206107,-0.824427,-16.1603,LOW,v5_stream
149,1769870953.4824,26.7888,12.1374,0.321045,0.0249023,-1.07104,-0.442748,0.80916,-10.8855,LOW,v5_stream
150,1769870953.7393,26.7888,8.0458,0.265381,0.0483398,-1.09619,-0.290076,0.740458,-7.01527,LOW,v5_stream
151,1769870953.7393,26.8829,15.8702,0.310059,0.118164,-1.07642,0.0381679,0.458015,-15.374,LOW,v5_stream
152,1769870953.7393,26.7888,9.39695,0.317627,-0.015625,-1.0896,-0.793893,1.16794,-7.43511,LOW,v5_stream
153,1769870953.7393,26.7888,9.12977,0.272949,0.111084,-1.10303,-0.198473,-0.10687,-8.82443,LOW,v5_stream
154,1769870954.7393,26.8359,12.3435,0.291504,0.116943,-1.07935,-0.679389,0.351145,-11.313,LOW,v5_stream
155,1769870955.0174,26.8359,12.3969,0.285645,0.11499,-1.09692,-0.839695,-0.870229,-10.687,LOW,v5_stream
156,1769870955.0174,26.8359,6.22137,0.287354,0.0993652,-1.06421,-1.03817,0.709924,-4.47328,LOW,v5_stream
157,1769870955.0174,26.7888,5.93893,0.247803,0.114746,-1.08496,0.122137,1.48855,-4.32824,LOW,v5_stream
158,1769870956.0174,26.93,10.771,0.301758,0.102295,-1.09082,-1.73282,-1.0687,-7.96947,LOW,v5_stream
159,1769870956.0174,26.8359,2.46565,0.257324,0.113037,-1.07739,-0.389313,1.53435,0.541985,LOW,v5_stream
160,1769870956.2809,26.8829,3.61069,0.269043,0.0471191,-1.10059,-1.32061,0.923664,1.36641,LOW,v5_stream
161,1769870956.2809,26.8359,4.21374,0.22583,0.207764,-1.06982,0.137405,0.801527,-3.27481,LOW,v5_stream
162,1769870957.2809,26.8829,4.0,0.274902,0.0576172,-1.08398,-1.80153,0.801527,-1.39695,LOW,v5_stream
163,1769870957.2809,26.8829,6.58779,0.237305,0.12085,-1.10132,-1.0,1.29771,4.29008,LOW,v5_stream
164,1769870957.2809,26.7888,3.91603,0.26416,0.200195,-1.07446,-0.389313,0.48855,-3.03817,LOW,v5_stream
165,1769870958.5761,26.8829,2.9771,0.250977,0.20459,-1.07739,0.0,0.679389,-2.29771,LOW,v5_stream
166,1769870958.5761,26.93,3.74046,0.275635,0.043457,-1.1062,-1.89313,0.793893,1.05344,LOW,v5_stream
167,1769870958.5761,26.7418,5.73282,0.224121,0.14209,-1.10449,-0.709924,0.564885,4.45802,LOW,v5_stream
168,1769870958.5761,26.7418,1.26718,0.26709,0.183838,-1.07251,-0.580153,0.519084,0.167939,LOW,v5_stream
169,1769870958.5761,26.8829,13.2824,0.279053,0.0292969,-1.09424,-1.33588,1.1145,10.8321,LOW,v5_stream
170,1769870958.9399,26.93,11.313,0.302002,0.048584,-1.08447,-2.28244,0.473282,8.55725,LOW,v5_stream
171,1769870958.9399,26.8829,16.8626,0.255615,0.101074,-1.0918,-1.19084,1.01527,14.6565,LOW,v5_stream
172,1769870958.9399,26.8359,8.16794,0.275146,0.168701,-1.07764,-0.717557,0.412214,7.03817,LOW,v5_stream
173,1769870959.9399,26.8359,17.4351,0.307373,0.0090332,-1.08643,-2.32824,1.41221,13.6947,LOW,v5_stream
174,1769870959.9399,26.8359,14.4733,0.277344,0.090332,-1.0835,-1.1374,0.137405,13.1985,LOW,v5_stream
175,1769870960.2026,26.8829,11.9237,0.29126,0.0876465,-1.08911,-1.36641,-0.48855,10.0687,LOW,v5_stream
176,1769870960.2026,26.8359,16.7405,0.314209,0.034668,-1.08032,-1.75573,0.89313,14.0916,LOW,v5_stream
177,1769870961.2026,26.9771,19.8702,0.269775,0.000488281,-1.09766,-1.51908,1.61069,16.7405,LOW,v5_stream
178,1769870961.2026,26.93,11.0534,0.321533,0.0852051,-1.07446,-1.67176,-0.541985,8.83969,LOW,v5_stream
179,1769870961.2026,26.8359,20.0687,0.312012,0.00341797,-1.07324,-1.0687,1.44275,17.5573,LOW,v5_stream
180,1769870961.4631,26.8359,18.8397,0.316406,-0.0241699,-1.07935,-1.48855,1.48855,15.8626,LOW,v5_stream
181,1769870962.4631,26.8359,17.1832,0.309082,-0.0400391,-1.07935,-1.36641,0.755725,15.0611,LOW,v5_stream
182,1769870962.4631,26.8829,14.0763,0.354004,-0.00634766,-1.06714,-1.96183,-0.396947,11.7176,LOW,v5_stream
183,1769870962.4631,26.7888,21.3206,0.299805,-0.0617676,-1.07666,-1.01527,1.93893,18.3664,LOW,v5_stream
184,1769870962.4631,26.7888,12.8931,0.305176,-0.0649414,-1.08643,-1.33588,0.351145,11.2061,LOW,v5_stream
185,1769870963.7157,26.8359,21.0916,0.300537,-0.104004,-1.07446,-1.36641,2.38168,17.3435,LOW,v5_stream
186,1769870963.7157,26.7888,12.4046,0.297607,-0.0749512,-1.09131,-1.49618,-0.00763359,10.9008,LOW,v5_stream
187,1769870963.7157,26.8829,15.2137,0.306396,-0.0959473,-1.0752,-1.61832,0.282443,13.313,LOW,v5_stream
188,1769870963.7157,26.8359,18.4962,0.265625,-0.120605,-1.0791,-0.824427,1.72519,15.9466,LOW,v5_stream
189,1769870963.7157,26.8829,9.94656,0.312988,-0.142822,-1.09692,-1.77863,-0.175573,7.99237,LOW,v5_stream
190,1769870963.9965,26.8829,10.2061,0.302002,-0.1521,-1.07837,-1.41221,0.312977,8.48092,LOW,v5_stream
191,1769870963.9965,26.8359,17.3664,0.273193,-0.196777,-1.09497,-1.73282,1.30534,14.3282,LOW,v5_stream
192,1769870963.9965,26.9771,8.32824,0.261719,-0.0949707,-1.09106,-1.19084,0.351145,6.78626,LOW,v5_stream
193,1769870964.9965,26.8829,10.7328,0.307373,-0.206787,-1.07104,-1.12214,0.450382,9.16031,LOW,v5_stream
194,1769870964.9965,26.9771,12.8092,0.265381,-0.182129,-1.0835,-1.40458,1.30534,10.0992,LOW,v5_stream
195,1769870965.2603,26.8359,10.6107,0.241943,-0.144287,-1.06006,-0.450382,1.53435,8.62595,LOW,v5_stream
196,1769870965.2603,26.8359,2.53435,0.267334,-0.190186,-1.09766,-1.61832,0.816794,0.0992366,LOW,v5_stream
197,1769870966.2603,27.0241,2.64122,0.275146,-0.212891,-1.0791,-1.10687,-0.664122,0.870229,LOW,v5_stream
198,1769870966.2603,26.93,8.61069,0.245605,-0.119385,-1.08276,-0.580153,1.55725,6.47328,LOW,v5_stream
199,1769870966.2603,26.8359,7.03817,0.270752,-0.196289,-1.09204,-1.12214,0.70229,-5.21374,LOW,v5_stream
200,1769870967.6298,26.93,4.15267,0.253906,-0.10083,-1.07812,-1.18321,0.961832,2.00763,LOW,v5_stream
201,1769870967.6298,26.93,10.9542,0.281494,-0.223389,-1.08716,-0.656489,-0.10687,-10.1908,LOW,v5_stream
202,1769870967.6298,26.8829,4.18321,0.277344,-0.211426,-1.0686,-0.694656,0.946565,-2.54198,LOW,v5_stream
203,1769870967.6298,26.93,14.9542,0.249756,-0.0756836,-1.08813,-0.0458015,0.175573,-14.7328,LOW,v5_stream
