id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso
106,1769901636.8246,28.2476,17.0992,0.206299,-0.149902,-1.0769,0.160305,0.80916,-16.1298,LOW,v5_stream,2026-01-31T23:20:36.824599Z
107,1769901637.0246,28.2476,15.6183,0.325195,-0.179443,-1.09741,-0.854962,1.32061,-13.4427,LOW,v5_stream,2026-01-31T23:20:37.024600Z
111,1769901637.065,28.2947,10.2214,0.260254,-0.130615,-1.09399,-0.160305,1.96183,-8.09924,LOW,v5_stream,2026-01-31T23:20:37.065000Z
108,1769901637.2246,28.2476,25.313,0.378174,-0.00585938,-1.04663,-0.167939,-0.381679,-24.7634,LOW,v5_stream,2026-01-31T23:20:37.224600Z
112,1769901637.265,28.2947,27.374,0.368408,-0.0341797,-1.06348,-1.82443,-1.28244,-24.2672,LOW,v5_stream,2026-01-31T23:20:37.265000Z
109,1769901637.4246,28.2006,16.8473,0.226807,-0.123047,-1.06934,0.916031,0.587786,-15.3435,LOW,v5_stream,2026-01-31T23:20:37.424599Z
113,1769901637.465,28.2947,21.0611,0.32373,0.129883,-1.06738,1.22901,-1.48092,-18.3511,LOW,v5_stream,2026-01-31T23:20:37.464999Z
110,1769901637.6246,28.2947,18.4046,0.318848,-0.140869,-1.10181,-0.801527,2.19084,-15.4122,LOW,v5_stream,2026-01-31T23:20:37.624599Z
114,1769901637.665,28.2947,10.6183,0.247803,-0.130859,-1.09546,0.21374,2.31298,-8.0916,LOW,v5_stream,2026-01-31T23:20:37.664999Z
116,1769901638.3416,28.2947,16.8321,0.316406,0.185303,-1.07812,0.70229,-2.40458,-13.7252,LOW,v5_stream,2026-01-31T23:20:38.341599Z
117,1769901638.5416,28.2006,5.41985,0.192871,0.00195312,-1.07935,0.458015,2.1145,-2.84733,LOW,v5_stream,2026-01-31T23:20:38.541599Z
118,1769901638.7416,28.3418,18.1145,0.323242,0.00805664,-1.10791,-2.70992,2.61069,-12.7939,LOW,v5_stream,2026-01-31T23:20:38.741600Z
115,1769901638.865,28.2947,21.7023,0.314941,-0.0400391,-1.09546,-1.9542,0.641221,-19.1069,LOW,v5_stream,2026-01-31T23:20:38.865000Z
121,1769901639.6974,28.2947,15.8626,0.339111,0.184082,-1.06274,-0.80916,0.793893,-14.2595,LOW,v5_stream,2026-01-31T23:20:39.697400Z
119,1769901639.9416,28.2947,21.6641,0.343262,0.214355,-1.06787,-0.633588,-0.984733,-20.0458,LOW,v5_stream,2026-01-31T23:20:39.941600Z
120,1769901640.1416,28.3418,4.0229,0.215576,0.114746,-1.0813,0.870229,-0.282443,-2.87023,LOW,v5_stream,2026-01-31T23:20:40.141599Z
122,1769901640.8974,28.2947,2.58779,0.18457,0.115967,-1.10132,-0.366412,-1.36641,0.854962,LOW,v5_stream,2026-01-31T23:20:40.897399Z
126,1769901640.9438,28.2476,4.72519,0.322266,0.206055,-1.04712,-1.12214,0.862595,-2.74046,LOW,v5_stream,2026-01-31T23:20:40.943799Z
123,1769901641.0974,28.2947,5.67939,0.251221,0.0888672,-1.10938,-1.80153,1.70229,-2.17557,LOW,v5_stream,2026-01-31T23:20:41.097399Z
127,1769901641.1438,28.2476,4.00763,0.241211,0.121582,-1.11011,0.0458015,-2.42748,1.53435,LOW,v5_stream,2026-01-31T23:20:41.143800Z
124,1769901641.2974,28.2947,11.6183,0.333252,0.132324,-1.04639,-0.961832,0.419847,-10.2366,LOW,v5_stream,2026-01-31T23:20:41.297399Z
128,1769901641.3438,28.2476,9.82443,0.182861,0.0507812,-1.09912,-1.77863,1.51145,6.53435,LOW,v5_stream,2026-01-31T23:20:41.343800Z
125,1769901641.4974,28.2947,2.74046,0.175781,0.110107,-1.09863,0.0916031,-1.07634,1.57252,LOW,v5_stream,2026-01-31T23:20:41.497400Z
129,1769901641.5438,28.3418,3.30534,0.327637,0.191162,-1.05469,-1.28244,1.05344,-0.969466,LOW,v5_stream,2026-01-31T23:20:41.543800Z
131,1769901642.1727,28.2476,6.05343,0.333984,0.182129,-1.08032,-1.30534,-2.16031,2.58779,LOW,v5_stream,2026-01-31T23:20:42.172699Z
132,1769901642.3727,28.2476,21.9313,0.195312,0.170898,-1.06665,0.21374,1.9084,19.8092,LOW,v5_stream,2026-01-31T23:20:42.372699Z
133,1769901642.5727,28.3418,18.6718,0.30249,0.0227051,-1.10327,-2.69466,2.68702,13.2901,LOW,v5_stream,2026-01-31T23:20:42.572700Z
130,1769901642.7438,28.2006,3.8855,0.250977,0.145264,-1.09009,-0.236641,-0.580153,3.0687,LOW,v5_stream,2026-01-31T23:20:42.743799Z
136,1769901643.4451,28.2947,10.4809,0.361084,0.0881348,-1.07642,-2.78626,-0.137405,7.55725,LOW,v5_stream,2026-01-31T23:20:43.445100Z
137,1769901643.6451,28.2476,18.5954,0.263428,0.133057,-1.08472,-0.0992366,-0.0916031,18.4046,LOW,v5_stream,2026-01-31T23:20:43.645100Z
134,1769901643.7727,28.3418,5.92366,0.351318,0.193115,-1.06763,-1.71756,-0.137405,4.0687,LOW,v5_stream,2026-01-31T23:20:43.772700Z
135,1769901643.9727,28.3888,23.2748,0.250977,0.127441,-1.07007,0.549618,1.50382,21.2214,LOW,v5_stream,2026-01-31T23:20:43.972700Z
141,1769901644.6714,28.2476,9.77099,0.398193,0.0710449,-1.06909,-2.42748,0.435115,6.9084,LOW,v5_stream,2026-01-31T23:20:44.671400Z
138,1769901644.8451,28.2476,29.5954,0.279541,-0.098877,-1.10645,-2.01527,2.85496,24.7252,LOW,v5_stream,2026-01-31T23:20:44.845099Z
139,1769901645.0451,28.1535,13.7939,0.367676,0.0712891,-1.06152,-2.71756,-0.206107,10.8702,LOW,v5_stream,2026-01-31T23:20:45.045099Z
140,1769901645.2451,28.3418,20.6031,0.315918,0.0710449,-1.04688,-0.229008,2.12977,18.2443,LOW,v5_stream,2026-01-31T23:20:45.245100Z
142,1769901645.8714,28.2476,22.9466,0.282227,-0.0217285,-1.07495,-0.21374,0.832061,21.9008,LOW,v5_stream,2026-01-31T23:20:45.871400Z
146,1769901645.9377,28.2947,17.8779,0.350586,-0.257568,-1.09546,-2.62595,1.25954,13.9924,LOW,v5_stream,2026-01-31T23:20:45.937700Z
143,1769901646.0714,28.2476,24.9924,0.349121,-0.186768,-1.10034,-1.83969,2.17557,20.9771,LOW,v5_stream,2026-01-31T23:20:46.071399Z
147,1769901646.1377,28.2947,14.4275,0.289551,0.00878906,-1.05957,-1.09924,-2.83206,10.4962,LOW,v5_stream,2026-01-31T23:20:46.137700Z
144,1769901646.2714,28.2476,10.4504,0.356201,0.00219727,-1.07446,-1.54198,-0.221374,8.68702,LOW,v5_stream,2026-01-31T23:20:46.271399Z
148,1769901646.3377,28.2947,21.7634,0.206787,-0.157227,-1.07446,-1.0229,2.59542,18.145,LOW,v5_stream,2026-01-31T23:20:46.337699Z
145,1769901646.4714,28.3418,23.9389,0.237549,-0.0419922,-1.07959,0.206107,0.89313,22.8397,LOW,v5_stream,2026-01-31T23:20:46.471400Z
149,1769901646.5377,28.2006,12.0076,0.360352,-0.294434,-1.08325,-2.27481,0.587786,9.14504,LOW,v5_stream,2026-01-31T23:20:46.537699Z
151,1769901647.1697,28.2476,4.0458,0.338623,-0.152832,-1.05664,-1.54962,-2.16794,0.328244,LOW,v5_stream,2026-01-31T23:20:47.169699Z
152,1769901647.3697,28.2947,15.084,0.125488,-0.147217,-1.09326,-0.541985,1.56489,12.9771,LOW,v5_stream,2026-01-31T23:20:47.369699Z
153,1769901647.5697,28.3888,10.3053,0.342041,-0.260986,-1.073,-1.93893,3.62595,4.74046,LOW,v5_stream,2026-01-31T23:20:47.569700Z
150,1769901647.7377,28.2947,13.229,0.282715,-0.050293,-1.07788,-0.709924,-3.45038,9.0687,LOW,v5_stream,2026-01-31T23:20:47.737699Z
156,1769901648.4488,28.2947,5.62595,0.363525,-0.161377,-1.05688,-1.38168,2.54962,-1.69466,LOW,v5_stream,2026-01-31T23:20:48.448800Z
157,1769901648.6488,28.2947,20.1221,0.252197,-0.171387,-1.08008,0.419847,-2.83206,-16.8702,LOW,v5_stream,2026-01-31T23:20:48.648799Z
